date,close,high,low,open,volume,adjClose
2017-10-04 00:00:00+00:00,153.48,153.86,152.46,153.63,19844177,36.67251871
2017-10-05 00:00:00+00:00,155.39,155.44,154.05,154.18,21032800,37.12889421
2017-10-06 00:00:00+00:00,155.3,155.49,154.56,154.97,16423749,37.1073896
2017-10-09 00:00:00+00:00,155.84,156.73,155.485,155.81,16200129,37.23641723
2017-10-10 00:00:00+00:00,155.9,158,155.1,156.055,15456331,37.25075363
2017-10-11 00:00:00+00:00,156.55,156.98,155.75,155.97,16607693,37.40606466
2017-10-12 00:00:00+00:00,156,157.37,155.7299,156.35,16045720,37.27464764
2017-10-13 00:00:00+00:00,156.99,157.28,156.41,156.73,16287608,37.51119829
2017-10-16 00:00:00+00:00,159.88,160,157.65,157.9,23894630,38.20173503
2017-10-17 00:00:00+00:00,160.47,160.87,159.23,159.78,18816438,38.34270966
2017-10-18 00:00:00+00:00,159.76,160.71,159.6,160.42,16158659,38.17306222
2017-10-19 00:00:00+00:00,155.98,157.08,155.02,156.75,42111326,37.26986884
2017-10-20 00:00:00+00:00,156.25,157.75,155.96,156.61,23612246,37.33438265
2017-10-23 00:00:00+00:00,156.17,157.69,155.5,156.89,21654461,37.31526745
2017-10-24 00:00:00+00:00,157.1,157.42,156.2,156.29,17137731,37.53748169
2017-10-25 00:00:00+00:00,156.41,157.55,155.27,156.91,20126554,37.37261306
2017-10-26 00:00:00+00:00,157.41,157.8295,156.78,157.23,16751691,37.61155311
2017-10-27 00:00:00+00:00,163.05,163.6,158.7,159.29,43904150,38.95917498
2017-10-30 00:00:00+00:00,166.72,168.07,163.72,163.89,43923292,39.83608496
2017-10-31 00:00:00+00:00,169.04,169.6499,166.94,167.9,35474672,40.39042588
2017-11-01 00:00:00+00:00,166.89,169.94,165.61,169.87,33100847,39.87670477
2017-11-02 00:00:00+00:00,168.11,168.5,165.28,167.64,32710040,40.16821163
2017-11-03 00:00:00+00:00,172.5,174.26,171.12,174,58683826,41.21715844
2017-11-06 00:00:00+00:00,174.25,174.99,171.72,172.365,34242566,41.63530353
2017-11-07 00:00:00+00:00,174.81,175.25,173.6,173.91,23910914,41.76910996
2017-11-08 00:00:00+00:00,176.24,176.24,174.33,174.66,23907639,42.11079423
2017-11-09 00:00:00+00:00,175.88,176.095,173.14,175.11,28636531,42.02477581
2017-11-10 00:00:00+00:00,174.67,175.38,174.27,175.11,25061183,41.88619058
2017-11-13 00:00:00+00:00,173.97,174.5,173.4,173.5,16828025,41.71832928
2017-11-14 00:00:00+00:00,171.34,173.48,171.18,173.04,23588451,41.08765039
2017-11-15 00:00:00+00:00,169.08,170.3197,168.38,169.97,28702351,40.54569819
2017-11-16 00:00:00+00:00,171.1,171.87,170.3,171.18,23497326,41.03009795
2017-11-17 00:00:00+00:00,170.15,171.39,169.64,171.04,21665811,40.80228618
2017-11-20 00:00:00+00:00,169.98,170.56,169.56,170.29,15974387,40.76151987
2017-11-21 00:00:00+00:00,173.14,173.7,170.78,170.78,24875471,41.51929374
2017-11-22 00:00:00+00:00,174.96,175,173.05,173.36,24997274,41.95573312
2017-11-24 00:00:00+00:00,174.97,175.5,174.6459,175.1,14026519,41.95813114
2017-11-27 00:00:00+00:00,174.09,175.08,173.34,175.05,20536313,41.7471055
2017-11-28 00:00:00+00:00,173.07,174.87,171.86,174.3,25468442,41.50250761
2017-11-29 00:00:00+00:00,169.48,172.92,167.16,172.63,40788324,40.64161894
2017-11-30 00:00:00+00:00,171.85,172.14,168.44,170.43,40172368,41.20994934
2017-12-01 00:00:00+00:00,171.05,171.67,168.5,169.95,39590080,41.01810785
2017-12-04 00:00:00+00:00,169.8,172.62,169.63,172.48,32115052,40.71835553
2017-12-05 00:00:00+00:00,169.64,171.52,168.4,169.06,27008428,40.67998723
2017-12-06 00:00:00+00:00,169.01,170.2047,166.46,167.5,28224357,40.52891206
2017-12-07 00:00:00+00:00,169.32,170.44,168.91,169.03,24469613,40.60325064
2017-12-08 00:00:00+00:00,169.37,171,168.82,170.49,23096872,40.61524073
2017-12-11 00:00:00+00:00,172.67,172.89,168.79,169.2,33092051,41.40658687
2017-12-12 00:00:00+00:00,171.7,172.39,171.461,172.15,18945457,41.17397906
2017-12-13 00:00:00+00:00,172.27,173.54,172,172.5,23142242,41.31066612
2017-12-14 00:00:00+00:00,172.22,173.13,171.65,172.4,20219307,41.29867603
2017-12-15 00:00:00+00:00,173.97,174.17,172.46,173.63,37054632,41.71832928
2017-12-18 00:00:00+00:00,176.42,177.2,174.86,174.88,28831533,42.30584383
2017-12-19 00:00:00+00:00,174.54,175.39,174.09,175.03,27078872,41.85501634
2017-12-20 00:00:00+00:00,174.35,175.42,173.25,174.87,23000392,41.80945399
2017-12-21 00:00:00+00:00,175.01,176.02,174.1,174.17,20356826,41.96772321
2017-12-22 00:00:00+00:00,175.01,175.42,174.5,174.68,16052615,41.96772321
2017-12-26 00:00:00+00:00,170.57,171.47,169.68,170.8,32968167,40.90300296
2017-12-27 00:00:00+00:00,170.6,170.78,169.71,170.1,21672062,40.91019702
2017-12-28 00:00:00+00:00,171.08,171.85,170.48,171,15997739,41.02530191
2017-12-29 00:00:00+00:00,169.23,170.59,169.22,170.52,25643711,40.58166847
2018-01-02 00:00:00+00:00,172.26,172.3,169.26,170.16,25048048,41.3082681
2018-01-03 00:00:00+00:00,172.23,174.55,171.96,172.53,28819653,41.30107405
2018-01-04 00:00:00+00:00,173.03,173.47,172.08,172.54,22211345,41.49291553
2018-01-05 00:00:00+00:00,175,175.37,173.05,173.44,23016177,41.96532519
2018-01-08 00:00:00+00:00,174.35,175.61,173.93,174.35,20134092,41.80945399
2018-01-09 00:00:00+00:00,174.33,175.06,173.41,174.55,21262614,41.80465795
2018-01-10 00:00:00+00:00,174.29,174.3,173,173.16,23589129,41.79506588
2018-01-11 00:00:00+00:00,175.28,175.49,174.49,174.59,17523256,42.03246972
2018-01-12 00:00:00+00:00,177.09,177.36,175.65,176.18,25039531,42.46651108
2018-01-16 00:00:00+00:00,176.19,179.39,176.14,177.9,29159005,42.25068941
2018-01-17 00:00:00+00:00,179.1,179.25,175.07,176.15,32752734,42.94851281
2018-01-18 00:00:00+00:00,179.26,180.1,178.25,179.37,30234512,42.98688111
2018-01-19 00:00:00+00:00,178.46,179.58,177.41,178.61,30827809,42.79503962
2018-01-22 00:00:00+00:00,177,177.78,176.6,177.3,26023683,42.44492891
2018-01-23 00:00:00+00:00,177.04,179.44,176.82,177.3,31702531,42.45452099
2018-01-24 00:00:00+00:00,174.22,177.3,173.2,177.25,50562257,41.77827975
2018-01-25 00:00:00+00:00,171.11,174.95,170.53,174.51,39661804,41.03249597
2018-01-26 00:00:00+00:00,171.51,172,170.06,172,37121805,41.12841671
2018-01-29 00:00:00+00:00,167.96,170.16,167.07,170.16,48434424,40.27712011
2018-01-30 00:00:00+00:00,166.97,167.37,164.7,165.53,45137026,40.03971627
2018-01-31 00:00:00+00:00,167.43,168.44,166.5,166.87,30984099,40.15002513
2018-02-01 00:00:00+00:00,167.78,168.62,166.76,167.17,38099665,40.23395578
2018-02-02 00:00:00+00:00,160.5,166.8,160.1,166,85436075,38.48819825
2018-02-05 00:00:00+00:00,156.49,163.88,156,159.1,66090446,37.5265928
2018-02-06 00:00:00+00:00,163.03,163.72,154,154.83,66625484,39.09489695
2018-02-07 00:00:00+00:00,159.54,163.4,159.07,163.09,50852130,38.25798847
2018-02-08 00:00:00+00:00,155.15,161,155.03,160.29,49594129,37.20525831
2018-02-09 00:00:00+00:00,156.41,157.89,150.24,157.07,66723743,37.65848382
2018-02-12 00:00:00+00:00,162.71,163.89,157.51,158.5,60560145,39.17532065
2018-02-13 00:00:00+00:00,164.34,164.75,161.65,161.95,32104756,39.56777208
2018-02-14 00:00:00+00:00,167.37,167.54,162.88,163.04,39669178,40.29729836
2018-02-15 00:00:00+00:00,172.99,173.09,169,169.79,50609595,41.65041312
2018-02-16 00:00:00+00:00,172.43,174.82,171.77,172.36,39638793,41.51558318
2018-02-20 00:00:00+00:00,171.85,174.26,171.42,172.05,33531012,41.37593788
2018-02-21 00:00:00+00:00,171.07,174.12,171.01,172.83,35833514,41.18813904
2018-02-22 00:00:00+00:00,172.5,173.95,171.71,171.8,30504116,41.53243692
2018-02-23 00:00:00+00:00,175.5,175.65,173.54,173.67,33329232,42.25474017
2018-02-26 00:00:00+00:00,178.97,179.39,176.21,176.35,36886432,43.09020427
2018-02-27 00:00:00+00:00,178.39,180.48,178.16,179.1,38685165,42.95055897
2018-02-28 00:00:00+00:00,178.12,180.62,178.05,179.26,33604574,42.88555168
2018-03-01 00:00:00+00:00,175,179.78,172.66,178.54,48801970,42.1343563
2018-03-02 00:00:00+00:00,176.21,176.3,172.45,172.8,38453950,42.42568528
2018-03-05 00:00:00+00:00,176.82,177.74,174.52,175.21,28401366,42.5725536
2018-03-06 00:00:00+00:00,176.67,178.25,176.13,177.91,23788506,42.53643844
2018-03-07 00:00:00+00:00,175.03,175.85,174.27,174.94,31703462,42.14157933
2018-03-08 00:00:00+00:00,176.94,177.12,175.07,175.48,23163767,42.60144573
2018-03-09 00:00:00+00:00,179.98,180,177.39,177.96,31385134,43.33337969
2018-03-12 00:00:00+00:00,181.72,182.39,180.21,180.29,32055405,43.75231558
2018-03-13 00:00:00+00:00,179.97,183.5,179.24,182.59,31168404,43.33097202
2018-03-14 00:00:00+00:00,178.44,180.52,177.81,180.32,29075469,42.96259736
2018-03-15 00:00:00+00:00,178.65,180.24,178.07,178.5,22584565,43.01315859
2018-03-16 00:00:00+00:00,178.02,179.12,177.62,178.65,36836456,42.8614749
2018-03-19 00:00:00+00:00,175.3,177.47,173.66,177.32,32804695,42.20658662
2018-03-20 00:00:00+00:00,175.24,176.8,174.94,175.24,19314039,42.19214056
2018-03-21 00:00:00+00:00,171.27,175.09,171.26,175.04,35247358,41.23629259
2018-03-22 00:00:00+00:00,168.85,172.68,168.6,170,41051076,40.65363463
2018-03-23 00:00:00+00:00,164.94,169.92,164.94,168.39,40248954,39.71223273
2018-03-26 00:00:00+00:00,172.77,173.1,166.44,168.07,36272617,41.59744421
2018-03-27 00:00:00+00:00,168.34,175.15,166.92,173.68,38962839,40.53084308
2018-03-28 00:00:00+00:00,166.48,170.02,165.19,167.25,41668545,40.08301507
2018-03-29 00:00:00+00:00,167.78,171.75,166.9,167.81,38398505,40.39601314
2018-04-02 00:00:00+00:00,166.68,168.94,164.47,166.64,37586791,40.13116862
2018-04-03 00:00:00+00:00,168.39,168.75,164.88,167.64,30278046,40.54288147
2018-04-04 00:00:00+00:00,171.61,172.01,164.77,164.88,34605489,41.31815362
2018-04-05 00:00:00+00:00,172.8,174.23,172.08,172.58,26933197,41.60466725
2018-04-06 00:00:00+00:00,168.38,172.48,168.2,170.97,35005290,40.54047379
2018-04-09 00:00:00+00:00,170.05,173.09,169.85,169.88,29017718,40.94255593
2018-04-10 00:00:00+00:00,173.25,174,171.53,173,28614241,41.71301274
2018-04-11 00:00:00+00:00,172.44,173.92,171.7,172.23,22431640,41.51799086
2018-04-12 00:00:00+00:00,174.14,175,173.04,173.41,22889285,41.92729603
2018-04-13 00:00:00+00:00,174.73,175.84,173.85,174.78,25124255,42.06934901
2018-04-16 00:00:00+00:00,175.82,176.19,174.83,175.03,21578420,42.33178585
2018-04-17 00:00:00+00:00,178.24,178.94,176.41,176.49,26605442,42.91444381
2018-04-18 00:00:00+00:00,177.84,178.82,176.88,177.81,20754538,42.81813671
2018-04-19 00:00:00+00:00,172.8,175.39,172.66,173.76,34808800,41.60466725
2018-04-20 00:00:00+00:00,165.72,171.22,165.43,170.6,65491140,39.90003158
2018-04-23 00:00:00+00:00,165.24,166.92,164.09,166.83,36515477,39.78446306
